DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00205(1.0),14/03/24 11:00:00,A,YR,F,Y_LT1,AL,2013,80.1,
ESTAT:TPS00205(1.0),14/03/24 11:00:00,A,YR,F,Y_LT1,AL,2014,80.1,
ESTAT:TPS00205(1.0),14/03/24 11:00:00,A,YR,F,Y_LT1,AL,2015,79.7,
ESTAT:TPS00205(1.0),14/03/24 11:00:00,A,YR,F,Y_LT1,AL,2016,80.1,
ESTAT:TPS00205(1.0),14/03/24 11:00:00,A,YR,F,Y_LT1,AL,2017,80.1,
ESTAT:TPS00205(1.0),14/03/24 11:00:00,A,YR,F,Y_LT1,AL,2018,80.5,
ESTAT:TPS00205(1.0),14/03/24 11:00:00,A,YR,F,Y_LT1,AL,2019,80.7,
ESTAT:TPS00205(1.0),14/03/24 11:00:00,A,YR,F,Y_LT1,AL,2020,79.6,
ESTAT:TPS00205(1.0),14/03/24 11:00:00,A,YR,F,Y_LT1,AL,2021,77.7,
ESTAT:TPS00205(1.0),14/03/24 11:00:00,A,YR,F,Y_LT1,AL,2022,80.9,
ESTAT:TPS00205(1.0),14/03/24 11:00:00,A,YR,F,Y_LT1,AM,2015,78.2,
ESTAT:TPS00205(1.0),14/03/24 11:00:00,A,YR,F,Y_LT1,AM,2016,78.4,
ESTAT:TPS00205(1.0),14/03/24 11:00:00,A,YR,F,Y_LT1,AM,2017,78.9,
ESTAT:TPS00205(1.0),14/03/24 11:00:00,A,YR,F,Y_LT1,AM,2018,79.7,
ESTAT:TPS00205(1.0),14/03/24 11:00:00,A,YR,F,Y_LT1,AM,2019,79.7,
ESTAT:TPS00205(1.0),14/03/24 11:00:00,A,YR,F,Y_LT1,AT,2011,83.8,
ESTAT:TPS00205(1.0),14/03/24 11:00:00,A,YR,F,Y_LT1,AT,2012,83.6,
ESTAT:TPS00205(1.0),14/03/24 11:00:00,A,YR,F,Y_LT1,AT,2013,83.8,
ESTAT:TPS00205(1.0),14/03/24 11:00:00,A,YR,F,Y_LT1,AT,2014,84.0,
ESTAT:TPS00205(1.0),14/03/24 11:00:00,A,YR,F,Y_LT1,AT,2015,83.7,
ESTAT:TPS00205(1.0),14/03/24 11:00:00,A,YR,F,Y_LT1,AT,2016,84.1,
